Variable,Type,Set 1,Set 2,p-value,Significant (<0.05)
SUBTYPE,categorical,Train,TrainVal,0.362,NO
CANCER_TYPE_ACRONYM,categorical,Train,TrainVal,1,NO
OTHER_PATIENT_ID,categorical,Train,TrainVal,0.478,NO
SEX,categorical,Train,TrainVal,1,NO
DAYS_LAST_FOLLOWUP,categorical,Train,TrainVal,0.337,NO
ETHNICITY,categorical,Train,TrainVal,0.59,NO
FORM_COMPLETION_DATE,categorical,Train,TrainVal,0.556,NO
HISTORY_NEOADJUVANT_TRTYN,categorical,Train,TrainVal,1,NO
ICD_10,categorical,Train,TrainVal,0.563,NO
ICD_O_3_HISTOLOGY,categorical,Train,TrainVal,0.913,NO
ICD_O_3_SITE,categorical,Train,TrainVal,0.563,NO
INFORMED_CONSENT_VERIFIED,categorical,Train,TrainVal,1,NO
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,categorical,Train,TrainVal,0.634,NO
PERSON_NEOPLASM_CANCER_STATUS,categorical,Train,TrainVal,0.98,NO
PRIOR_DX,categorical,Train,TrainVal,0.291,NO
RACE,categorical,Train,TrainVal,0.501,NO
RADIATION_THERAPY,categorical,Train,TrainVal,0.0542,NO
IN_PANCANPATHWAYS_FREEZE,categorical,Train,TrainVal,0.639,NO
OS_STATUS,categorical,Train,TrainVal,0.399,NO
DSS_STATUS,categorical,Train,TrainVal,0.27,NO
DFS_STATUS,categorical,Train,TrainVal,0.918,NO
PFS_STATUS,categorical,Train,TrainVal,1,NO
GENETIC_ANCESTRY_LABEL,categorical,Train,TrainVal,0.354,NO
AGE,numeric,Train,TrainVal,0.681,NO
AJCC_STAGING_EDITION,numeric,Train,TrainVal,0.785,NO
DAYS_TO_BIRTH,numeric,Train,TrainVal,0.686,NO
DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS,numeric,Train,TrainVal,1,NO
WEIGHT,numeric,Train,TrainVal,0.115,NO
OS_MONTHS,numeric,Train,TrainVal,0.972,NO
DSS_MONTHS,numeric,Train,TrainVal,0.972,NO
DFS_MONTHS,numeric,Train,TrainVal,0.848,NO
PFS_MONTHS,numeric,Train,TrainVal,0.884,NO
